org_name,shared_companies,shared_big_companies,group_size,countries_worked_in_together,worked_together_time,worked_together_time_big,communication_skills,emotional_intelligence,shared_languages,shared_skills,endorsements,skill_synergy,years_studied_together,level_studied_together,shared_projects,shared_publications,prior_experience_scale,founders_with_prior_technical_experience,founders_with_prior_business_experience,founders_with_good_network,founders_with_marketing_experience,founders_with_finance_experience,founders_with_legal_experience,founders_resilient,rd_costs,set_up_costs,brand_loyalty,legal_barriers,capital_requirements,years_to_breakeven,market_saturation,companies_that_failed,prior_founding_experience,previous_big_tech_experience,institution_level,average_publications,average_education,highest_education,average_extroversion,leadership_roles,years_of_experience,years_post_grad,countries_worked_in_average,average_GPA,average_awards,success
16 Lots Brewing,,,1,,,,0,0,,,,0,,,,,1,0,1,0,1,0,0,0,5.0,6.0,7.0,4.0,6.0,2,3,1,1,0,2,0.0,1.0,Bachelors,5.0,1.0,20.0,26.0,1.0,3.5,0.0,0
"1620 Workwear, Inc.",1,0,2,0,2,0,2,0,0,21,0,2,0.0,,0,0,4,1,1,2,1,0,0,0,5.0,6.0,4.0,5.0,6.0,3,5,2,1,0,5,0.0,1.0,Bachelors,4.0,2.0,12.0,7.0,1.0,3.5,0.0,0
19Labs,,,1,,,,1,1,,,,0,,,,,3,1,1,0,1,0,0,1,5.0,6.0,5.0,4.0,6.0,3,21,3,1,3,3,0.0,2.0,MBA,4.0,1.0,25.0,22.0,1.0,3.5,0.0,0
1CommMedical,1,0,2,1,1,0,0,1,0,0,0,0,0.0,,0,0,3,1,1,2,1,0,0,0,5.0,5.0,6.0,5.0,6.0,3,4,2,2,0,2,0.0,3.0,PHD,4.0,4.0,9.0,7.0,1.0,3.5,0.0,0
1Konto,1,0,2,1,1,0,0,0,0,0,0,0,1.5,Bachelors,0,0,4,1,1,0,0,1,0,0,5.0,6.0,7.0,4.0,6.0,2,20,3,2,1,2,0.2,1.0,PHD,0.0,2.0,11.0,1.5,1.0,3.21,0.0,0
20n,,,1,,,,1,0,,,,0,,,,,3,1,0,0,0,0,0,0,5.0,4.0,6.0,4.0,4.0,3,7,3,0,0,2,0.0,3.0,PHD,3.0,1.0,15.0,12.0,1.0,3.7,0.0,0
24 Proof,,,1,,,,0,1,,,,0,,,,,2,1,1,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0,3,10,2,1,1,2,0.0,2.0,Masters,4.0,1.0,20.0,9.0,1.0,3.5,0.0,0
26 Brix,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,5.0,4.0,4.0,6.0,3,10,1,0,0,5,0.0,1.0,Bachelors,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2DA Analytics,1,0,2,1,1,0,2,0,0,0,0,0,0.0,,0,0,4,1,1,1,0,1,0,0,5.0,5.0,6.0,4.0,6.0,3,5,10,2,1,2,6.0,1.5,Masters,3.0,3.0,15.0,4.0,1.0,3.5,1.0,0
2RedBeans,1,0,2,1,3,0,2,2,2,0,0,2,3.5,Masters,0,0,4,2,2,2,1,1,0,0,6.0,5.0,6.0,5.0,7.0,4,10,2,2,2,2,0.0,3.0,PHD,3.0,2.0,17.5,7.5,1.0,3.5,0.0,0
3 Data,,,1,,,,1,1,,,,0,,,,,2,1,1,1,1,0,0,0,4.0,5.0,6.0,3.0,6.0,3,4,2,1,1,2,0.0,2.0,Bachelors,4.0,1.0,7.0,10.0,1.0,3.5,0.0,0
30A Investment Partners,1,0,2,0,0,0,2,0,0,0,0,0,0.0,,0,0,3,1,1,2,0,1,0,0,5.0,7.0,4.0,5.0,6.0,3,5,3,0,0,2,0.0,1.0,Bachelors,0.0,1.0,20.0,1.0,1.0,0.0,0.0,0
30K,,,1,,,,0,0,,,,0,,,,,2,0,1,1,0,1,0,0,5.0,6.0,7.0,5.0,7.0,3,5,3,2,1,2,0.0,2.0,Bachelors,3.0,1.0,10.0,7.0,3.0,3.2,0.0,0
360 STORIES,0,0,2,1,0,0,1,0,3,0,0,0,0.0,,0,0,2,1,1,0,1,0,0,0,6.0,5.0,7.0,5.0,7.0,3,5,3,0,1,2,0.0,2.0,Master,3.0,0.0,10.0,8.0,1.0,3.5,0.0,0
360Alumni,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,6.0,7.0,6.0,7.0,3,10,2,1,0,3,0.0,2.0,Masters,3.0,1.0,20.0,10.0,1.0,3.5,1.0,0
360ofme,,,1,,,,0,0,,,,0,,,,,5,1,1,1,0,0,0,0,5.0,6.0,5.0,4.0,7.0,3,5,2,1,1,1,0.0,2.0,Bachelors,4.0,4.0,25.0,6.0,1.0,3.4,1.0,0
37coins,1,0,2,1,1,0,1,0,2,0,0,1,0.0,,0,0,3,1,1,0,0,0,0,0,6.0,8.0,3.0,5.0,6.0,2,5,3,1,1,5,0.0,2.0,Bachelors,3.0,1.0,5.0,5.0,1.0,0.0,0.0,0
3Bar Biologics,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,1,0,0,5.0,6.0,5.0,3.0,7.0,3,2,1,0,1,2,0.0,2.0,MBA,0.0,1.0,25.0,15.0,1.0,0.0,0.0,0
3D Live,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,6.0,7.0,4.0,7.0,3,5,2,0,0,3,0.0,1.0,Bachelors,0.0,1.0,12.0,0.0,1.0,3.2,0.0,0
3D health Solutions,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,5.0,6.0,7.0,6.0,3,5,2,0,0,4,0.0,2.0,Masters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3DAPARTMENT,,,1,,,,0,0,,,,0,,,,,1,1,0,1,0,0,0,0,5.0,7.0,4.0,6.0,7.0,2,1,1,0,0,0,0.0,1.0,Bachelors,0.0,1.0,6.0,7.0,1.0,0.0,0.0,0
3DBio,1,0,2,0,0,0,0,0,0,0,0,0,2.0,PhD,0,0,5,2,1,0,0,0,0,0,5.0,4.0,5.0,6.0,6.0,2,2,1,0,1,3,0.0,3.0,PhD,0.0,1.0,2.0,8.0,1.0,3.5,0.0,0
3DEN,1,0,2,0,0,0,1,0,2,38,0,1,0.0,,0,0,2,1,2,1,1,0,0,0,5.0,6.0,4.0,3.0,7.0,3,100,5,2,0,3,0.0,2.0,Masters,3.0,7.0,10.0,8.0,1.0,3.4,0.0,0
3Doodler,2,1,3,0,1,1,3,3,1,4,2,2,0.0,,0,0,5,2,2,1,0,1,1,0,4.0,4.0,7.0,3.0,5.0,3,10,5,2,2,2,0.0,3.0,Masters,4.0,2.0,12.67,12.0,1.67,3.38,0.0,0
3Oe Scientific,0,0,2,1,0,0,0,0,0,0,0,0,0.0,,0,0,2,0,2,0,1,0,0,0,6.0,5.0,6.0,6.0,5.0,3,10,3,0,0,3,0.0,2.0,PHD,2.0,1.0,20.0,22.0,1.0,3.5,3.0,0
3i DIAGNOSTICS,,,1,,,,0,0,,,,0,,,,,2,0,0,0,0,0,0,0,5.0,6.0,7.0,4.0,6.0,3,3,2,0,0,2,0.0,2.0,PhD,0.0,0.0,5.0,27.0,1.0,0.0,0.0,0
3i Nanotech,2,0,2,1,0,0,0,0,1,0,0,0,0.0,,0,0,3,2,2,2,0,0,0,0,6.0,5.0,7.0,5.0,7.0,3,7,5,2,0,2,0.0,3.0,PHD,3.0,1.0,36.0,18.0,1.0,3.5,0.0,0
40GRID,1,0,2,2,1,0,2,0,3,0,0,2,4.0,Bachelors,0,0,3,1,2,0,0,1,0,0,5.0,5.0,5.0,3.0,5.0,3,15,4,3,1,2,0.0,2.0,Masters,3.0,2.0,10.0,5.0,3.0,3.5,0.0,0
410 Labs,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,0,0,0,5.0,6.0,7.0,4.0,5.0,3,5,2,1,1,2,0.0,2.0,Bachelors,2.0,3.0,22.0,23.0,1.0,3.5,0.0,0
42Bio,2,0,3,1,0,0,0,0,2,0,0,0,0.0,,0,0,3,3,0,0,0,0,0,0,7.0,6.0,8.0,4.0,7.0,3,5,2,3,1,1,3.33,3.0,PHD,0.0,1.0,16.0,8.0,1.0,0.0,0.0,0
43° North,,,1,,,,1,0,,,,0,,,,,2,0,1,0,1,0,0,0,5.0,6.0,6.0,4.0,5.0,2,5,2,1,0,1,0.0,2.0,Masters,3.0,1.0,17.0,4.0,1.0,3.5,0.0,0
4D Energetics,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,7.0,6.0,5.0,4.0,6.0,2,7,10,0,0,3,0.0,2.0,PHD,0.0,1.0,30.0,37.0,1.0,0.0,0.0,0
4D Molecular Therapeutics,,,1,,,,0,0,,,,0,,,,,5,1,1,1,0,0,0,0,6.0,6.0,5.0,4.0,6.0,3,10,2,2,1,1,1.0,3.0,PHD,4.0,4.0,25.0,17.0,3.0,3.6,1.0,1
4Degrees,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,6.0,6.0,5.0,6.0,3,5,3,0,0,1,0.0,2.0,Bachelors,0.0,0.0,8.0,2.0,0.0,3.5,0.0,0
4Smartpro,0,0,2,1,0,0,2,0,1,0,0,0,0.0,,0,0,2,1,1,1,1,0,0,0,5.0,5.0,4.0,5.0,6.0,3,7,2,0,1,3,0.0,2.0,Masters,3.0,1.0,2.0,5.0,2.0,3.3,0.0,0
"4th Law, LLC",1,0,2,0,0,0,0,0,1,0,0,0,0.0,,0,0,1,1,1,1,0,0,0,0,5.0,5.0,6.0,5.0,6.0,3,3,5,1,1,3,0.0,2.0,Bachelors,0.0,2.0,20.0,37.0,1.0,3.0,0.0,0
5 Calls,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,5.0,5.0,6.0,5.0,6.0,3,20,5,1,1,3,0.0,2.0,Bachelors,3.0,1.0,13.0,6.0,1.0,3.5,0.0,0
5 More Minutes Ltd,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,5.0,5.0,6.0,4.0,5.0,3,4,1,1,0,2,0.0,1.0,Bachelors,0.0,1.0,14.0,27.0,1.0,0.0,0.0,0
55 Resort Management,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,5.0,7.0,5.0,6.0,3,5,1,1,1,5,0.0,1.0,Bachelors,3.0,3.0,30.0,0.0,1.0,0.0,0.0,0
5AM Global,1,0,2,1,4,0,0,1,1,0,0,0,0.0,,0,0,3,1,2,1,2,0,0,1,4.0,6.0,5.0,4.0,5.0,3,3,1,2,0,2,0.0,2.0,Bachelors,4.0,2.0,14.0,11.0,2.0,3.5,0.0,0
60Hertz Energy,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,4.0,5.0,7.0,5.0,6.0,3,15,5,1,0,2,0.0,2.0,Masters,4.0,1.0,12.0,6.0,1.0,3.5,3.0,0
6crickets,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,5.0,5.0,6.0,5.0,5.0,3,10,5,0,0,1,0.0,3.0,PHD,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0
6d bytes,2,1,3,2,2,0,2,3,0,0,0,2,1.3333333333333333,Masters,0,0,4,1,3,2,1,1,0,1,8.0,7.0,6.0,5.0,8.0,3,20,5,2,3,2,0.0,2.0,Masters,3.0,3.0,10.0,6.0,1.66,3.4,0.0,0
6sense,2,1,2,1,1,1,2,2,3,14,5,2,0.0,,0,0,4,2,2,2,0,0,0,0,5.0,5.0,7.0,4.0,5.0,2,10,3,2,2,2,0.0,2.0,Masters,4.0,2.0,13.0,10.0,2.0,3.5,0.0,1
7 Chord,1,0,2,1,0,0,2,2,2,14,0,1,1.5,Masters,0,0,4,2,1,2,0,2,0,0,7.0,6.0,4.0,5.0,7.0,3,5,1,2,1,2,6.0,2.0,PHD,3.0,1.5,21.5,8.0,2.0,3.5,1.0,0
7 Generation Games,0,0,3,1,2,0,2,1,2,17,0,2,0.0,,0,0,3,1,2,2,1,1,0,1,6.0,6.0,7.0,5.0,8.0,3,7,5,2,1,2,0.0,2.0,PhD,3.0,2.0,5.0,5.0,1.0,3.2,0.0,0
71lbs,,,1,,,,0,0,,,,0,,,,,3,1,0,0,0,0,0,0,5.0,5.0,6.0,5.0,6.0,3,12,1,0,3,1,0.0,2.0,MBA,3.0,1.0,20.0,21.0,2.0,3.5,0.0,0
8 Myles,,,1,,,,0,0,,,,0,,,,,1,1,1,1,0,1,0,0,5.0,6.0,6.0,4.0,5.0,3,5,1,1,0,2,1.0,2.0,MBA,3.0,1.0,8.0,7.0,1.0,3.81,0.0,0
800 Digital Agency,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,5.0,5.0,6.0,5.0,3,10,5,1,0,5,0.0,1.0,Bachelors,1.0,1.0,15.0,5.0,1.0,0.0,0.0,0
828 Venue Management Company,,,1,,,,0,0,,,,0,,,,,2,0,2,1,1,0,0,0,5.0,6.0,3.0,5.0,6.0,3,10,0,2,1,2,0.0,2.0,Masters,4.0,3.0,7.0,2.0,1.0,3.5,0.0,0
86Borders,,,1,,,,0,0,,,,0,,,,,3,5,2,0,0,1,0,0,6.0,5.0,7.0,4.0,6.0,2,8,3,6,5,2,0.0,2.0,MBA,4.0,4.0,36.0,42.0,2.0,3.4,0.0,0
8B Education Investments,,,1,,,,0,0,,,,0,,,,,2,0,1,1,0,1,0,1,5.0,6.0,5.0,4.0,6.0,3,10,1,1,0,1,0.0,3.0,PHD,3.0,1.0,0.0,0.0,1.0,3.7,0.0,0
8Stem,,,1,,,,0,0,,,,0,,,,,2,1,1,1,1,0,0,0,5.0,6.0,5.0,4.0,5.0,3,10,2,1,0,2,0.0,2.0,Bachelors,4.0,3.0,15.0,23.0,1.0,3.5,1.0,0
908 Devices,5,2,5,1,2,1,5,4,0,0,0,1,1.0,Masters,0,12,5,5,3,4,0,1,0,4,5.0,6.0,7.0,5.0,8.0,3,12,1,3,3,3,3.0,2.0,PhD,4.0,4.0,15.0,10.0,1.0,3.5,2.0,1
99degrees Custom,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,0,0,0,6.0,7.0,6.0,5.0,7.0,3,10,2,0,0,2,0.0,2.0,Masters,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0
9Fiber,,,1,,,,0,0,,,,0,,,,,1,1,0,0,0,0,0,0,5.0,5.0,5.0,3.0,6.0,3,10,5,0,0,3,0.0,1.0,Bachelors,0.0,1.0,10.0,10.0,1.0,3.4,0.0,0
A Red Circle,,,1,,,,0,0,,,,0,,,,,2,0,1,1,1,0,0,0,5.0,5.0,4.0,5.0,5.0,3,5,2,0,0,2,0.0,2.0,PhD,3.0,1.0,9.0,2.0,1.0,3.5,0.0,0
A-Champs,,,1,,,,0,0,,,,0,,,,,1,0,1,1,0,0,0,0,5.0,6.0,4.0,5.0,6.0,3,30,5,0,0,2,0.0,2.0,Diploma,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0
A.M. Money,,,1,,,,0,0,,,,0,,,,,1,0,1,1,0,1,0,0,7.0,8.0,6.0,7.0,8.0,3,4,3,0,1,1,0.0,2.0,MBA,0.0,1.0,11.0,10.0,1.0,3.5,0.0,0
AA Audience,,,1,,,,0,0,,,,0,,,,,2,1,1,1,1,0,0,0,5.0,5.0,5.0,4.0,6.0,3,20,5,4,1,2,0.0,2.0,Bachelors,2.0,4.0,15.0,17.0,1.0,3.5,1.0,0
ABBY&FINN,1,0,3,2,1,0,3,2,0,0,0,0,1.5,Bachelors,0,0,4,1,3,2,3,2,0,2,5.0,5.0,6.0,4.0,5.0,2,15,5,3,1,2,0.0,1.0,Bachelors,3.0,2.0,10.0,3.0,1.5,3.5,1.0,0
ABRAXAS Technology,,,1,,,,0,0,,,,0,,,,,1,0,1,0,1,0,0,0,4.0,5.0,6.0,5.0,7.0,3,10,5,1,0,5,0.0,2.0,Bachelors,5.0,1.0,4.0,1.0,1.0,3.0,0.0,0
ABV Technology,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,0,0,0,5.0,6.0,7.0,5.0,6.0,3,5,2,0,1,1,0.0,2.0,Masters,3.0,1.0,15.0,31.0,1.0,3.5,0.0,0
ABYA,,,1,,,,0,0,,,,0,,,,,1,1,0,1,0,0,0,0,5.0,7.0,6.0,5.0,7.0,3,4,2,0,0,2,0.0,2.0,Bachelors,4.0,1.0,10.0,1.0,1.0,3.5,0.0,0
ACELYRIN,,,1,,,,0,0,,,,0,,,,,5,0,1,1,0,0,0,0,8.0,7.0,6.0,5.0,8.0,3,5,3,0,0,2,0.0,2.0,Bachelors,0.0,1.0,14.0,42.0,1.0,0.0,0.0,1
ACHNET,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,0,0,0,4.0,5.0,4.0,5.0,6.0,3,10,5,1,1,2,0.0,2.0,Masters,0.0,1.0,20.0,20.0,1.0,0.0,0.0,0
ACV,,,1,,,,0,0,,,,0,,,,,3,1,0,0,0,0,0,0,5.0,7.0,8.0,6.0,7.0,3,15,5,0,1,1,0.0,2.0,Masters,0.0,1.0,5.0,1.0,1.0,3.5,0.0,1
ADL Ventures,,,1,,,,0,0,,,,0,,,,,4,0,1,1,0,1,0,0,5.0,4.0,6.0,3.0,5.0,3,10,1,3,0,1,0.0,2.0,MBA,5.0,2.0,10.0,16.0,2.0,3.6,2.0,0
ADmyBRAND,,,1,,,,0,0,,,,0,,,,,2,1,1,1,1,0,0,0,3.0,5.0,7.0,4.0,6.0,3,10,2,4,1,1,0.0,2.0,Masters,3.0,2.0,8.0,8.0,1.0,3.5,1.0,0
AEye,,,1,,,,0,0,,,,0,,,,,5,1,0,1,0,0,0,0,5.0,7.0,6.0,4.0,5.0,2,10,2,1,3,2,0.0,2.0,PhD,3.0,3.0,20.0,2.0,3.0,3.5,0.0,1
AG Essence,,,1,,,,0,0,,,,0,,,,,1,1,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,3,5,1,0,0,2,0.0,2.0,Bachelors,0.0,1.0,12.0,12.0,1.0,0.0,0.0,0
AGENT,,,1,,,,0,0,,,,0,,,,,2,0,1,0,1,0,0,0,5.0,6.0,5.0,4.0,6.0,2,30,10,1,0,2,0.0,2.0,Masters,4.0,3.0,20.0,5.0,2.0,3.5,0.0,0
AGI Innovations Inc.,,,1,,,,1,0,,,,0,,,,,2,1,0,1,0,0,0,0,5.0,5.0,4.0,5.0,6.0,3,7,2,1,1,3,0.0,2.0,Bachelors,4.0,3.0,30.0,5.0,3.0,3.5,0.0,0
AI Driller,,,1,,,,1,0,,,,0,,,,,3,1,1,1,1,0,0,0,4.0,5.0,6.0,5.0,6.0,3,10,1,1,1,2,0.0,2.0,Master,3.0,1.0,15.0,6.0,3.0,3.7,1.0,0
AIM Technologies,,,1,,,,0,0,,,,0,,,,,2,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,3,20,5,0,1,2,0.0,1.0,Bachelors,3.0,1.0,15.0,2.0,4.0,3.5,0.0,0
AIQUEOUS,,,1,,,,0,0,,,,0,,,,,1,1,0,1,0,0,0,0,1.0,5.0,5.0,4.0,5.0,3,10,2,0,0,2,0.0,2.0,Masters,0.0,1.0,15.0,8.0,1.0,0.0,0.0,0
AKALA,0,0,3,1,0,0,3,0,2,7,0,0,0.0,,0,0,4,0,2,3,0,0,0,0,4.0,4.0,6.0,3.0,5.0,3,5,2,3,0,2,0.0,2.0,Masters,4.67,2.0,6.0,2.0,2.0,3.57,0.0,0
AKTV8 LLC,,,1,,,,1,0,,,,0,,,,,4,1,1,1,1,1,0,0,6.0,7.0,8.0,5.0,6.0,2,3,2,1,5,2,0.0,2.0,MBA,4.0,1.0,23.0,15.0,1.0,3.5,0.0,0
AKUA,,,1,,,,0,0,,,,0,,,,,3,1,1,1,0,0,0,0,6.0,6.0,5.0,5.0,6.0,3,10,5,1,2,2,0.0,2.0,Masters,3.0,2.0,25.0,8.0,1.0,3.5,0.0,0
ALC Innovations,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,5.0,4.0,3.0,5.0,2,5,2,1,0,5,0.0,1.0,Bachelors,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0
ALLPUR Nutrition,0,0,3,0,0,0,0,0,0,0,0,0,0.0,,0,0,2,2,1,0,0,0,0,0,7.0,6.0,6.0,5.0,7.0,3,20,2,0,2,3,0.0,2.0,Masters,2.0,1.0,8.0,5.0,1.0,3.5,0.0,0
ALPHABETA,1,0,2,0,0,0,1,0,0,13,0,2,1.0,Masters,0,0,3,1,1,0,0,0,0,0,6.0,7.0,6.0,5.0,7.0,2,10,2,1,1,2,0.0,2.0,Masters,3.0,2.0,25.0,8.0,1.0,3.5,0.0,0
ALX Oncology,,,1,,,,0,0,,,,0,,,,,5,1,0,0,0,0,0,0,7.0,7.0,7.0,6.0,5.0,3,3,1,1,1,2,0.0,2.0,Postdoc,3.0,2.0,12.0,4.0,1.0,0.0,0.0,1
AMA - A Million Ads,,,1,,,,0,0,,,,0,,,,,2,1,0,1,1,0,0,0,4.0,5.0,7.0,5.0,6.0,5,3,1,1,1,1,0.0,2.0,Masters,0.0,1.0,16.0,22.0,2.0,0.0,0.0,0
AMI Staging,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,1,0,0,5.0,6.0,7.0,5.0,6.0,3,4,2,1,0,2,0.0,2.0,Masters,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
AMKIRI,1,0,2,2,1,0,0,1,0,0,0,0,0.0,,0,0,3,1,2,1,2,0,0,1,7.0,8.0,6.0,4.0,8.0,3,5,2,1,1,2,0.0,2.0,Masters,2.0,1.5,6.0,4.0,1.0,3.5,1.0,0
AMPTAB,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,5.0,6.0,7.0,4.0,7.0,2,8,1,0,1,3,0.0,2.0,Bachelors,3.0,2.0,12.0,29.0,1.0,3.5,0.0,0
ANAFLASH,1,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,1,0,0,0,0,0,0,4.0,4.0,4.0,3.0,5.0,3,10,5,0,1,2,4.0,3.0,PHD,0.0,1.0,0.0,9.0,1.0,3.5,0.0,0
APIwiz,,,1,,,,0,0,,,,0,,,,,0,0,0,0,0,0,0,0,6.0,5.0,8.0,5.0,7.0,3,5,2,0,1,3,0.0,1.0,Bachelors,0.0,0.0,13.0,3.0,4.0,0.0,0.0,0
APT Systems,,,1,,,,1,0,,,,0,,,,,3,1,1,0,0,1,0,0,7.0,6.0,5.0,4.0,6.0,3,8,5,1,0,4,0.0,1.0,Bachelors,3.0,1.0,20.0,13.0,1.0,0.0,0.0,0
APT212,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,6.0,7.0,4.0,6.0,3,10,2,0,0,5,0.0,1.0,Bachelors,0.0,1.0,13.0,6.0,1.0,0.0,0.0,0
AQUAOSO,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,2,0,0,0,0,0,1,0,6.0,7.0,5.0,7.0,8.0,3,7,0,0,0,3,0.0,2.0,Doctoral (PHD),3.0,1.0,10.0,6.0,1.0,0.0,0.0,0
AREVS,1,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,1,1,0,0,0,0,0,5.0,5.0,4.0,3.0,6.0,3,10,5,1,0,4,0.0,2.0,Bachelors,3.0,2.0,5.0,3.0,1.0,3.3,0.0,0
ARONSON WOODWORKS,0,0,2,1,0,0,0,0,0,0,0,0,0.0,,0,0,1,2,1,2,0,0,0,0,4.0,5.0,3.0,4.0,5.0,3,3,2,1,0,3,0.0,1.0,Bachelors,3.0,1.0,15.0,17.0,1.0,0.0,0.0,0
ARTBnk,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,6.0,5.0,4.0,6.0,3,6,3,0,0,0,0.0,0.0,,0.0,0.0,25.0,7.0,1.0,0.0,0.0,0
ARTDEX,,,1,,,,0,0,,,,0,,,,,2,0,1,1,0,1,1,0,5.0,7.0,6.0,4.0,6.0,2,20,5,0,0,1,0.0,2.0,Masters,3.0,1.0,20.0,8.0,1.0,0.0,0.0,0
ARTGlass-US,,,1,,,,0,0,,,,0,,,,,3,0,2,0,0,0,1,0,5.0,6.0,5.0,4.0,7.0,2,5,0,1,0,3,0.0,2.0,Masters,3.0,3.0,21.0,6.0,1.0,3.4,0.0,0
ARwall,1,0,2,1,6,0,0,0,2,0,0,0,4.0,Bachelors,0,0,3,2,1,0,0,0,0,0,6.0,7.0,7.0,4.0,6.0,3,5,3,0,2,2,0.0,1.0,Bachelors,0.0,2.0,5.0,6.0,2.0,3.5,0.0,0
